track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,genre_category,pos,neg,neu,compound
Die For You - Remix,"Ariana Grande, The Weeknd",1.0986122886681098,8.134174272137903,3.871201010907891,20.066923201031,4.477336814478207,4.465908118654584,4.31748811353631,0.6931471805599453,2.833213344056216,67,Minor,53,50,53,3.1780538303479458,0,3.8066624897703196,2.0794415416798357,other,0.194,0.3,0.506,-0.9943
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",1.3862943611198906,8.361240889642351,4.204692619390966,18.995836118940005,4.983606621708336,4.718498871295094,5.365976015021851,2.4849066497880004,6.698268054115413,128,Major,60,23,91,0.0,0,2.5649493574615367,1.3862943611198906,dance,0.374,0.252,0.374,0.9796
Another Love,Tom Odell,0.6931471805599453,9.818583045445685,4.430816798843313,21.318620275543065,5.5254529391317835,4.812184355372417,8.130059039992796,2.995732273553991,0.0,123,Minor,45,13,54,4.2626798770413155,0,2.302585092994046,1.6094379124341003,other,0.455,0.078,0.467,0.9986
cardigan,Taylor Swift,0.6931471805599453,8.977651407818442,3.4011973816621555,20.51503498404278,4.672828834461906,4.727387818712341,4.962844630259907,1.6094379124341003,5.375278407684165,130,Minor,61,53,58,4.02535169073515,0,3.332204510175204,1.6094379124341003,other,0.228,0.065,0.707,0.986
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",1.0986122886681098,8.553525120663627,3.7376696182833684,18.867534885783666,5.043425116919247,4.442651256490317,4.634728988229636,2.70805020110221,3.6375861597263857,133,Major,70,86,81,3.258096538021482,0,3.258096538021482,1.791759469228055,indie,0.305,0.202,0.493,0.9592
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",1.3862943611198906,8.041734711487537,3.6888794541139363,20.395364700675124,3.6635616461296463,0.0,1.6094379124341003,0.0,0.0,101,Major,88,72,59,4.143134726391533,0,2.302585092994046,1.3862943611198906,other,0.153,0.103,0.743,0.875
Yellow,Chris Molitor,0.6931471805599453,10.353256586200818,3.784189633918261,21.28585686417892,5.2832037287379885,1.0986122886681098,8.307459327011946,1.791759469228055,0.0,173,Major,43,28,66,0.0,0,3.1780538303479458,1.3862943611198906,other,0.2,0.015,0.785,0.9776
Karma,Taylor Swift,0.6931471805599453,8.247743887225516,3.1780538303479458,19.818317627268264,3.6375861597263857,4.02535169073515,3.4965075614664802,0.0,5.60947179518496,90,Major,64,10,62,2.0794415416798357,0,3.8918202981106265,2.0794415416798357,other,0.31,0.094,0.596,0.9948
People,Libianca,0.6931471805599453,8.162516250140179,4.04305126783455,19.737624917076793,4.663439094112067,4.174387269895637,5.135798437050262,2.1972245773362196,6.272877006546167,198,Minor,59,71,42,4.02535169073515,0,2.3978952727983707,2.0794415416798357,pop,0.358,0.062,0.58,0.9967
Overdrive,Post Malone,0.6931471805599453,6.018593214496234,3.6109179126442243,16.508814295802388,3.6109179126442243,3.4965075614664802,3.4657359027997265,0.6931471805599453,3.295836866004329,140,Major,56,48,73,0.0,0,3.58351893845611,1.6094379124341003,other,0.149,0.07,0.781,0.9538
Enchanted (Taylor's Version),Taylor Swift,0.6931471805599453,5.003946305945459,3.2188758248682006,17.4937884889954,3.4965075614664802,4.543294782270004,2.1972245773362196,1.0986122886681098,1.791759469228055,82,Major,51,22,53,0.6931471805599453,0,2.772588722239781,1.3862943611198906,other,0.215,0.03,0.755,0.9925
Heat Waves,Glass Animals,0.6931471805599453,10.023224234138462,4.1588830833596715,21.66248206507772,5.958424693029782,4.976733742420574,6.56244409369372,3.367295829986474,0.0,81,Major,76,53,53,3.8066624897703196,0,2.302585092994046,2.302585092994046,other,0.2,0.05,0.75,0.9887
golden hour,JVKE,0.6931471805599453,8.414495793177895,3.6109179126442243,20.437095325510455,4.2626798770413155,4.07753744390572,4.700480365792417,2.9444389791664403,5.442417710521793,94,Minor,51,14,59,4.189654742026425,324,3.258096538021482,1.3862943611198906,other,0.29,0.027,0.683,0.9895
Sweater Weather,The Neighbourhood,0.6931471805599453,9.705889908189658,4.127134385045092,21.548656105748044,5.117993812416755,4.477336814478207,6.963189985870238,0.6931471805599453,0.0,124,Major,61,41,81,1.791759469228055,4,2.3978952727983707,1.3862943611198906,other,0.25,0.018,0.732,0.993
Viva La Vida,Coldplay,0.6931471805599453,10.431140794408378,4.143134726391533,21.188828237268957,5.455321115357702,0.0,8.317766166719343,2.302585092994046,0.0,138,Minor,49,42,62,2.302585092994046,0,2.4849066497880004,1.3862943611198906,other,0.072,0.05,0.878,0.6574
Here With Me,d4vd,0.6931471805599453,8.085486772102845,3.1780538303479458,20.269784237756593,4.553876891600541,4.454347296253507,4.23410650459726,0.6931471805599453,4.442651256490317,132,Major,58,27,48,3.9318256327243257,0,2.5649493574615367,1.3862943611198906,other,0.32,0.0,0.68,0.9818
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",1.0986122886681098,9.056839480990421,3.7612001156935624,20.930829360286268,5.37989735354046,4.6913478822291435,5.805134968916488,3.295836866004329,5.043425116919247,131,Major,71,24,47,0.6931471805599453,0,3.332204510175204,2.302585092994046,other,0.166,0.102,0.733,0.9794
Riptide,Vance Joy,0.6931471805599453,10.345734504736821,4.02535169073515,21.420950046606645,5.707110264748875,4.189654742026425,6.911747300251674,0.6931471805599453,0.0,102,Major,48,50,73,3.784189633918261,0,2.772588722239781,1.6094379124341003,other,0.199,0.093,0.708,0.9805
Back To December (Taylor's Version),Taylor Swift,0.6931471805599453,4.941642422609304,2.8903717578961645,17.484925042769156,2.833213344056216,4.290459441148391,1.791759469228055,0.0,2.1972245773362196,142,Major,50,20,64,0.6931471805599453,0,2.5649493574615367,1.3862943611198906,other,0.252,0.057,0.691,0.9941
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",1.0986122886681098,9.743964132018151,3.6109179126442243,21.703598938020118,6.20050917404269,4.605170185988092,6.683360945766275,3.4657359027997265,0.0,170,Major,59,48,76,1.6094379124341003,0,2.3978952727983707,1.791759469228055,other,0.097,0.108,0.795,-0.25
Someone You Loved,Lewis Capaldi,0.6931471805599453,9.789030230558303,3.9889840465642745,21.783567494077975,6.089044875446846,4.836281906951478,7.496097345175956,0.0,0.0,110,Major,50,45,41,4.330733340286331,0,2.4849066497880004,1.3862943611198906,other,0.189,0.117,0.694,0.9503
Makeba,Jain,0.6931471805599453,8.709630081951286,3.9889840465642745,18.924385881116365,5.017279836814924,5.003946305945459,7.902487437162855,3.1354942159291497,7.280697195384741,116,Major,82,40,66,3.6888794541139363,2601,3.258096538021482,2.0794415416798357,other,0.019,0.023,0.958,-0.2732
Fast Car,Luke Combs,0.6931471805599453,7.277247726631484,2.5649493574615367,18.8721312675495,4.060443010546419,4.584967478670572,3.58351893845611,0.0,6.063785208687608,98,Major,71,67,60,2.995732273553991,0,2.5649493574615367,1.3862943611198906,other,0.145,0.074,0.781,0.9643
What It Is (Solo Version),Doechii,0.6931471805599453,6.690842277418564,3.258096538021482,18.370775948312016,3.4011973816621555,4.343805421853684,3.2188758248682006,0.0,5.093750200806762,172,Minor,74,76,76,1.9459101490553132,0,2.3978952727983707,2.302585092994046,other,0.345,0.056,0.599,0.9988
Don't Blame Me,Taylor Swift,0.6931471805599453,8.492080490601163,3.1780538303479458,20.344976889989162,2.995732273553991,3.828641396489095,0.0,0.0,2.3978952727983707,136,Minor,62,19,53,2.4849066497880004,0,1.9459101490553132,1.6094379124341003,other,0.212,0.108,0.68,0.9899
Still With You,Jung Kook,0.6931471805599453,3.4657359027997265,3.6888794541139363,17.46387934929753,1.0986122886681098,4.68213122712422,2.1972245773362196,0.0,0.0,88,Minor,53,34,47,2.302585092994046,0,4.430816798843313,1.6094379124341003,pop,0.132,0.097,0.772,0.9118
All My Life (feat. J. Cole),"J. Cole, Lil Durk",1.0986122886681098,7.685243607975833,3.1780538303479458,18.789240835876853,4.248495242049359,4.983606621708336,4.248495242049359,1.0986122886681098,6.171700597410915,143,Major,83,69,44,2.772588722239781,0,2.3978952727983707,3.5263605246161616,other,0.121,0.111,0.768,0.3031
Say Yes To Heaven,Lana Del Rey,0.6931471805599453,7.601402334583733,3.8501476017100584,18.66415651563692,3.912023005428146,4.663439094112067,4.1588830833596715,0.6931471805599453,0.0,100,Minor,49,17,35,4.276666119016055,81,2.4849066497880004,1.3862943611198906,other,0.242,0.08,0.678,0.9652
Snooze,SZA,0.6931471805599453,7.951559331155252,3.258096538021482,19.80619169578732,4.07753744390572,5.056245805348308,3.7612001156935624,0.6931471805599453,5.4680601411351315,143,Major,56,39,55,2.70805020110221,0,2.4849066497880004,2.6390573296152584,r&b,0.166,0.27,0.564,-0.9709
Summertime Sadness,Lana Del Rey,0.6931471805599453,9.920049640835106,3.970291913552122,20.706768001983445,4.499809670330265,4.969813299576001,7.398174092970465,1.3862943611198906,5.303304908059076,112,Minor,56,24,66,2.0794415416798357,0,2.5649493574615367,1.3862943611198906,other,0.176,0.287,0.538,-0.9833
