track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,genre,genre_category,pos,neg,neu,compound,sentiment_label,popularity_score,scaled_bpm,scaled_danceability,scaled_instrumentalness,scaled_energy
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",1.3862943611198906,7.57353126274595,4.477336814478207,18.56360777648876,4.31748811353631,5.209486152841421,4.477336814478207,2.70805020110221,6.997595982981927,99,Major,85,83,68,2.079441541679836,0,3.610917912644224,3.044522437723423,[],,0.051,0.069,0.88,-0.9961,angry,4.371629800313471,3.1702127659574466,8.643835616438356,1.0,7.034090909090908
Calm Down (with Selena Gomez),"Rema, Selena Gomez",1.0986122886681098,8.869679374733515,4.356708826689592,20.6169975593974,5.313205979041787,4.787491742782046,5.765191102784844,3.6635616461296463,4.574710978503383,107,Major,80,82,80,3.784189633918261,0,2.70805020110221,1.6094379124341005,"['afrobeats', 'afrobeat', 'afropop', 'afropiano']",afrobeats,0.137,0.103,0.76,0.9022,happy,7.740956328155763,3.6808510638297873,8.027397260273972,1.0,8.261363636363637
Last Night,Morgan Wallen,0.6931471805599453,7.791935956938058,2.995732273553991,19.878899904587904,3.970291913552122,4.68213122712422,2.772588722239781,0.6931471805599453,5.786897381366708,204,Major,52,52,68,3.8501476017100575,0,2.772588722239781,1.6094379124341005,['country'],country,0.149,0.071,0.78,0.9517,happy,6.529840918316176,9.872340425531915,4.575342465753424,1.0,7.034090909090908
Dance The Night (From Barbie The Album),Dua Lipa,0.6931471805599453,8.002694162283937,4.624972813284271,18.662912589055946,0.0,0.0,4.969813299576001,3.6635616461296463,0.0,110,Minor,67,78,85,1.0986122886681098,0,3.5263605246161616,1.791759469228055,['pop'],pop,0.112,0.068,0.82,0.9712,happy,4.534575161252727,3.872340425531915,6.424657534246575,1.0,8.772727272727273
Rush,Troye Sivan,0.6931471805599453,6.762729506931879,4.3694478524670215,16.93262657683202,4.276666119016055,4.912654885736052,3.9318256327243257,0.6931471805599453,5.68697535633982,126,Minor,74,35,84,0.0,0,2.4849066497880004,1.9459101490553128,[],,0.306,0.176,0.519,0.9895,happy,1.6954169019365515,4.8936170212765955,7.287671232876712,1.0,8.670454545454547
Creepin',"The Weeknd, 21 Savage, Metro Boomin",1.3862943611198906,8.705662478796427,4.48863636973214,20.55361270887595,4.736198448394496,5.010635294096256,5.5053315359323625,3.1780538303479458,3.332204510175204,98,Minor,71,17,61,3.610917912644224,0,2.19722457733622,1.791759469228055,[],,0.151,0.048,0.802,0.9694,happy,7.636950620080831,3.1063829787234045,6.917808219178082,1.0,6.318181818181818
Anti-Hero,Taylor Swift,0.6931471805599453,9.114159813502214,4.04305126783455,20.723014083259116,5.493061443340548,4.962844630259907,5.111987788356544,2.302585092994046,5.739792912179234,97,Major,64,51,63,2.5649493574615367,0,2.995732273553991,1.791759469228055,[],,0.161,0.209,0.631,-0.8897,angry,7.914914672163358,3.0425531914893615,6.054794520547945,1.0,6.5227272727272725
Frágil,"Yahritza Y Su Esencia, Grupo Frontera",1.0986122886681098,6.511745329644728,3.555348061489413,19.05690567513628,2.995732273553991,4.691347882229144,3.218875824868201,2.302585092994046,5.3612921657094255,150,Major,61,39,73,3.6375861597263857,0,2.4849066497880004,1.3862943611198906,"['sad sierreño', 'música mexicana', 'banda', 'corridos tumbados', 'corrido', 'sierreño']",sad sierreño,0.084,0.122,0.793,-0.4404,angry,5.181062919089199,6.425531914893617,5.684931506849315,1.0,7.545454545454546
Blank Space,Taylor Swift,0.6931471805599453,9.344434106456882,3.9889840465642745,21.027774846068187,5.043425116919247,4.820281565605037,6.018593214496234,1.0986122886681098,4.406719247264253,96,Major,75,57,68,2.302585092994046,0,2.6390573296152584,1.9459101490553128,[],,0.258,0.132,0.609,0.9923,happy,8.414984620560361,2.9787234042553195,7.410958904109589,1.0,7.034090909090908
Style,Taylor Swift,0.6931471805599453,8.965845494750937,3.7612001156935615,20.48269866842112,4.553876891600541,4.718498871295094,5.0238805208462765,1.6094379124341005,4.418840607796598,95,Major,60,48,79,0.0,0,2.5649493574615367,1.6094379124341005,[],,0.126,0.073,0.801,0.891,happy,7.520590560393336,2.914893617021277,5.561643835616438,1.0,8.159090909090908
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",1.0986122886681098,10.089759629074432,4.3694478524670215,21.75577270677811,5.921578419643816,4.770684624465665,6.738152494595957,1.6094379124341005,4.248495242049359,90,Major,76,91,50,4.007333185232471,0,2.079441541679836,1.791759469228055,[],,0.127,0.0,0.873,0.9217,happy,9.609527675521841,2.595744680851064,7.534246575342466,1.0,5.193181818181818
I'm Good (Blue),"Bebe Rexha, David Guetta",1.0986122886681098,9.432122997651051,4.394449154672439,20.82711506418297,5.676753802268282,5.220355825078324,6.2878585601617845,3.828641396489095,6.590301048196686,128,Minor,56,38,97,1.6094379124341005,0,3.58351893845611,1.6094379124341005,"['edm', 'dance']",edm,0.552,0.029,0.419,0.9985,happy,8.085729877109154,5.0212765957446805,5.068493150684931,1.0,10.0
